ObjektID,Name,Adresse,Typ,Baujahr,Wohneinheiten,Gesamtflaeche,Marktwert,Status,Eigentuemer,Verwalter,Erwerbsdatum,Finanzierung,Rendite
11,Wohnung 2 OG,Unbekannte Adresse,Mehrfamilienhaus,2001,1,50.0,94784.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
12,Ketscher LandstraÃŸe 11,Unbekannte Adresse,Gewerbeimmobilie,2002,1,100.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
13,App. 12 ( EG ),Unbekannte Adresse,Gewerbeimmobilie,2003,1,93.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
14,App. 13 ( EG ) ,Unbekannte Adresse,Gewerbeimmobilie,2004,1,14.5,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
15,App. 14 ( EG ) ,Unbekannte Adresse,Gewerbeimmobilie,2005,1,14.5,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
16,App. 15 ( EG ),Unbekannte Adresse,Gewerbeimmobilie,2006,1,22.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
17,App. 16 ( EG ),Unbekannte Adresse,Gewerbeimmobilie,2007,1,27.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
18,App. 17 ( EG ) ,Unbekannte Adresse,Gewerbeimmobilie,2008,1,17.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
19,App. 18 ( EG ),Unbekannte Adresse,Gewerbeimmobilie,2009,1,17.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
20,App. 19 / 20 ( EG ),Unbekannte Adresse,Gewerbeimmobilie,2010,1,20.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
21,App. 21 ( EG ),Unbekannte Adresse,Gewerbeimmobilie,2011,1,18.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
22,App. 22 ( EG ),Unbekannte Adresse,Gewerbeimmobilie,2012,1,16.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
23,App. 23 / 24 ( EG ),Unbekannte Adresse,Gewerbeimmobilie,2013,1,74.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
24,GewerbeflÃ¤che Restaurant ,Unbekannte Adresse,Gewerbeimmobilie,2014,1,743.0,1326000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
25,GewerbeflÃ¤che Kindergarten,Unbekannte Adresse,Gewerbeimmobilie,2015,1,964.0,2600000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
26,MarstallstraÃŸe 9,Unbekannte Adresse,Gewerbeimmobilie,2016,1,100.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
27,Praxis 1 OG rechts ,Unbekannte Adresse,Gewerbeimmobilie,2017,1,112.96,198000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
28,Wohnung 1 OG ,Unbekannte Adresse,Mehrfamilienhaus,2018,1,23.57,82000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
29,Praxis 1 OG links,Unbekannte Adresse,Gewerbeimmobilie,2019,1,73.23,158000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
30,GewerbeflÃ¤che EG ,Unbekannte Adresse,Gewerbeimmobilie,1990,1,126.73,250000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
31,Wohnung 1 EG ,Unbekannte Adresse,Mehrfamilienhaus,1991,1,41.81,100000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
32,Wohnung 2 EG ,Unbekannte Adresse,Mehrfamilienhaus,1992,1,30.11,103000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
33,Garage / Stellplatz 1,Unbekannte Adresse,Gewerbeimmobilie,1993,1,100.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
34,Garage / Stellplatz 2,Unbekannte Adresse,Gewerbeimmobilie,1994,1,100.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
35,NadlerstraÃŸe 10,Unbekannte Adresse,Gewerbeimmobilie,1995,1,100.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
36,Wohnung DG ,Unbekannte Adresse,Mehrfamilienhaus,1996,1,64.0,168000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
37,Wohnung 1 OG ,Unbekannte Adresse,Mehrfamilienhaus,1997,1,101.0,260000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
38,Wohnung EG,Unbekannte Adresse,Mehrfamilienhaus,1998,1,115.0,290000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
39,Wohnung UG,Unbekannte Adresse,Mehrfamilienhaus,1999,1,80.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
40,PfalzstraÃŸe 1,Unbekannte Adresse,Gewerbeimmobilie,2000,1,100.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
41,Wohnung  Vorderhau EG ,Unbekannte Adresse,Mehrfamilienhaus,2001,1,42.0,119000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
42,Wohnung Vorderhaus 1 OG,Unbekannte Adresse,Mehrfamilienhaus,2002,1,67.0,158000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
43,Wohnung Vorderhaus DG ,Unbekannte Adresse,Mehrfamilienhaus,2003,1,59.0,159000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
44,Wohnung Seitenhaus EG,Unbekannte Adresse,Mehrfamilienhaus,2004,1,70.0,170000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
45,Wohnung Hinterhaus EG,Unbekannte Adresse,Mehrfamilienhaus,2005,1,106.0,198000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
46,Wohnung Hinterhaus DG,Unbekannte Adresse,Mehrfamilienhaus,2006,1,71.0,100000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
47,Richard,Unbekannte Adresse,Gewerbeimmobilie,2007,1,100.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
48,Wohnung DG links,Unbekannte Adresse,Mehrfamilienhaus,2008,1,101.0,226000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
49,Wohnung DG rechts,Unbekannte Adresse,Mehrfamilienhaus,2009,1,89.0,216000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
50,SophienstraÃŸe 15,Unbekannte Adresse,Gewerbeimmobilie,2010,1,100.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
51,Wohnung DG,Unbekannte Adresse,Mehrfamilienhaus,2011,1,80.0,230000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
52,Wohnung 1 OG,Unbekannte Adresse,Mehrfamilienhaus,2012,1,165.0,396000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
53,Wohnung UG,Unbekannte Adresse,Mehrfamilienhaus,2013,1,45.0,119000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
54,Wohnung UG,Unbekannte Adresse,Mehrfamilienhaus,2014,1,38.0,99000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
55,GewerbeflÃ¤che 1.OG,Unbekannte Adresse,Gewerbeimmobilie,2015,1,75.0,210000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
56,GewerbeflÃ¤che EG,Unbekannte Adresse,Gewerbeimmobilie,2016,1,245.0,640000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
57,WilhelmstraÃŸe 26,Unbekannte Adresse,Gewerbeimmobilie,2017,1,100.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
58,Wohnung 1. OG,Unbekannte Adresse,Mehrfamilienhaus,2018,1,125.5,218000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
59,Wohnung EG ,Unbekannte Adresse,Mehrfamilienhaus,2019,1,41.0,85000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
60,GewerbeflÃ¤che EG,Unbekannte Adresse,Gewerbeimmobilie,1990,1,45.5,100000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
61,GewerbeflÃ¤che EG,Unbekannte Adresse,Gewerbeimmobilie,1991,1,40.5,102000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
