VertragID,MieterName,ObjektID,Wohnung,Mietbeginn,Mietende,Kaltmiete,Nebenkosten,Kaution,Status,Kuendigungsfrist,Indexierung,Letzter_Kontakt
V-2024-033,Mieter l,36,Wohnung DG rechts,2023-07-01,2025-12-31,1080.0,170.0,3240.0,Aktiv,3 Monate,Ja,2024-06-01
V-2024-034,Mieter `,1,Gesamt: 2 Einheiten,2020-01-01,2025-12-31,2210.0,410.0,6630.0,Aktiv,3 Monate,Ja,2024-06-01
V-2024-035,Mieter m,51,Wohnung DG,2020-01-01,2025-12-31,1150.0,150.0,3450.0,Aktiv,3 Monate,Ja,2024-06-01
V-2024-036,Mieter n,2,Wohnung 1 OG,2023-05-01,2025-12-31,1980.0,495.0,5940.0,Aktiv,3 Monate,Ja,2024-06-01
V-2024-037,Mieter o,39,Wohnung UG-1,2020-01-01,2025-12-31,595.0,125.0,1785.0,Aktiv,3 Monate,Ja,2024-06-01
V-2024-038,Mieter p,39,Wohnung UG-2,2022-10-01,2025-12-31,495.0,145.0,1485.0,Aktiv,3 Monate,Ja,2024-06-01
V-2024-039,Mieter q,55,GewerbeflÃ¤che 1.OG,2023-07-01,2025-12-31,1050.0,150.0,3150.0,Aktiv,3 Monate,Ja,2024-06-01
V-2024-040,Mieter r,4,GewerbeflÃ¤che EG,2023-03-01,2025-12-31,3200.0,700.0,9600.0,Aktiv,3 Monate,Ja,2024-06-01
V-2024-041,Mieter s,1,Gesamt: 6 Einheiten,2020-01-01,2025-12-31,8470.0,1765.0,25410.0,Aktiv,3 Monate,Ja,2024-06-01
V-2024-042,Mieter t,58,Wohnung 1. OG,2017-01-15,2025-12-31,1090.0,250.0,3270.0,Aktiv,3 Monate,Ja,2024-06-01
V-2024-043,Mieter u,3,Wohnung EG ,2017-03-01,2025-12-31,425.0,120.0,1275.0,Aktiv,3 Monate,Ja,2024-06-01
V-2024-044,Mieter v,4,GewerbeflÃ¤che EG-1,2009-08-01,2025-12-31,500.0,50.0,1500.0,Aktiv,3 Monate,Ja,2024-06-01
V-2024-045,Mieter w,4,GewerbeflÃ¤che EG-2,2009-09-01,2025-12-31,510.0,50.0,1530.0,Aktiv,3 Monate,Ja,2024-06-01
V-2024-046,Mieter s,1,Gesamt: 6 Einheiten,2020-01-01,2025-12-31,2525.0,470.0,7575.0,Aktiv,3 Monate,Ja,2024-06-01
